benchmark,runtime,run_index,elapsed_time_ns,score,return_code
boa,wasm3,1,22011337,0,0
commanderkeen,wasm3,1,223082133,0,0
ffmpeg,wasm3,1,11156423,0,0
fib,wasm3,1,15994906575,0,0
figma-startpage,wasm3,1,6938648,0,0
funky-kart,wasm3,1,499266589,0,0
game-of-life,wasm3,1,3642351,0,0
guiicons,wasm3,1,63331392,0,0
handy-tools,wasm3,1,26432288,0,0
heatmap,wasm3,1,17421044157,0,0
jsc,wasm3,1,58239285,0,0
kittygame,wasm3,1,130157433,0,0
multiplyDouble,wasm3,1,10065089734,0,0
multiplyInt,wasm3,1,9525173386,0,0
ogv,wasm3,1,1326446,0,0
pathfinding,wasm3,1,1155250069,0,0
riconpacker,wasm3,1,44735679,0,0
rtexviewer,wasm3,1,130251584,0,0
sandspiel,wasm3,1,755596043,0,0
sqlgui,wasm3,1,17700311,0,0
uarm,wasm3,1,0,0,1
video,wasm3,1,5865462,0,0
visual6502remix,wasm3,1,12455559,0,0
boa,jsc,1,28037861,0,0
commanderkeen,jsc,1,49116367,0,0
ffmpeg,jsc,1,25960139,0,0
fib,jsc,1,1006429983,0,0
figma-startpage,jsc,1,13973925,0,0
funky-kart,jsc,1,78971696,0,0
game-of-life,jsc,1,10376861,0,0
guiicons,jsc,1,19914881,0,0
handy-tools,jsc,1,29272935,0,0
heatmap,jsc,1,9491572553,0,0
jsc,jsc,1,48209262,0,0
kittygame,jsc,1,21740649,0,0
multiplyDouble,jsc,1,4254041568,0,0
multiplyInt,jsc,1,1601961568,0,0
ogv,jsc,1,8633729,0,0
pathfinding,jsc,1,735231576,0,0
riconpacker,jsc,1,19418230,0,0
rtexviewer,jsc,1,13279931,0,0
sandspiel,jsc,1,82789779,0,0
sqlgui,jsc,1,20573656,0,0
uarm,jsc,1,229872565,0,0
video,jsc,1,11122777,0,0
visual6502remix,jsc,1,23153971,0,0
boa,v8,1,14293100,0,0
commanderkeen,v8,1,124221458,0,0
ffmpeg,v8,1,17997924,0,0
fib,v8,1,1216656659,0,0
figma-startpage,v8,1,11975111,0,0
funky-kart,v8,1,108035277,0,0
game-of-life,v8,1,9517911,0,0
guiicons,v8,1,26569912,0,0
handy-tools,v8,1,42565206,0,0
heatmap,v8,1,7272312185,0,0
jsc,v8,1,65750438,0,0
kittygame,v8,1,21730822,0,0
multiplyDouble,v8,1,4924481720,0,0
multiplyInt,v8,1,1611038339,0,0
ogv,v8,1,11616246,0,0
pathfinding,v8,1,239038184,0,0
riconpacker,v8,1,27065552,0,0
rtexviewer,v8,1,10127536,0,0
sandspiel,v8,1,75979142,0,0
sqlgui,v8,1,49612855,0,0
uarm,v8,1,371006622,0,0
video,v8,1,12425215,0,0
visual6502remix,v8,1,16212786,0,0
boa,wasmtime,1,32513879,0,0
commanderkeen,wasmtime,1,38918535,0,0
ffmpeg,wasmtime,1,40870962,0,0
fib,wasmtime,1,1673682535,0,0
figma-startpage,wasmtime,1,9272729,0,0
funky-kart,wasmtime,1,83516089,0,0
game-of-life,wasmtime,1,6243817,0,0
guiicons,wasmtime,1,9085982,0,0
handy-tools,wasmtime,1,18980020,0,0
heatmap,wasmtime,1,7387764395,0,0
jsc,wasmtime,1,46965144,0,0
kittygame,wasmtime,1,18772241,0,0
multiplyDouble,wasmtime,1,4245154316,0,0
multiplyInt,wasmtime,1,1596854871,0,0
ogv,wasmtime,1,6095326,0,0
pathfinding,wasmtime,1,119359622,0,0
riconpacker,wasmtime,1,10566262,0,0
rtexviewer,wasmtime,1,6884051,0,0
sandspiel,wasmtime,1,82540709,0,0
sqlgui,wasmtime,1,9902268,0,0
uarm,wasmtime,1,357729952,0,0
video,wasmtime,1,6225086,0,0
visual6502remix,wasmtime,1,19565872,0,0
boa,wasmtime-aot,1,7846615,0,0
commanderkeen,wasmtime-aot,1,21626140,0,0
ffmpeg,wasmtime-aot,1,6650796,0,0
fib,wasmtime-aot,1,1672546196,0,0
figma-startpage,wasmtime-aot,1,4422195,0,0
funky-kart,wasmtime-aot,1,27270362,0,0
game-of-life,wasmtime-aot,1,3631345,0,0
guiicons,wasmtime-aot,1,9078903,0,0
handy-tools,wasmtime-aot,1,5607341,0,0
heatmap,wasmtime-aot,1,7360633154,0,0
jsc,wasmtime-aot,1,10496288,0,0
kittygame,wasmtime-aot,1,18475450,0,0
multiplyDouble,wasmtime-aot,1,4245110616,0,0
multiplyInt,wasmtime-aot,1,1595786249,0,0
ogv,wasmtime-aot,1,4517269,0,0
pathfinding,wasmtime-aot,1,119243208,0,0
riconpacker,wasmtime-aot,1,7139412,0,0
rtexviewer,wasmtime-aot,1,6030483,0,0
sandspiel,wasmtime-aot,1,81646526,0,0
sqlgui,wasmtime-aot,1,6920072,0,0
uarm,wasmtime-aot,1,68982256,0,0
video,wasmtime-aot,1,3970732,0,0
visual6502remix,wasmtime-aot,1,6416601,0,0
boa,wasmtime-pulley64,1,501697235,0,0
commanderkeen,wasmtime-pulley64,1,781662814,0,0
ffmpeg,wasmtime-pulley64,1,726346262,0,0
fib,wasmtime-pulley64,1,21999692709,0,0
figma-startpage,wasmtime-pulley64,1,35817245,0,0
funky-kart,wasmtime-pulley64,1,1184026170,0,0
game-of-life,wasmtime-pulley64,1,6063908,0,0
guiicons,wasmtime-pulley64,1,341205277,0,0
handy-tools,wasmtime-pulley64,1,160304120,0,0
heatmap,wasmtime-pulley64,1,12829823454,0,0
jsc,wasmtime-pulley64,1,512175878,0,0
kittygame,wasmtime-pulley64,1,338899976,0,0
multiplyDouble,wasmtime-pulley64,1,31263747037,0,0
multiplyInt,wasmtime-pulley64,1,6279540982,0,0
ogv,wasmtime-pulley64,1,7959703,0,0
pathfinding,wasmtime-pulley64,1,2686656905,0,0
riconpacker,wasmtime-pulley64,1,303565018,0,0
rtexviewer,wasmtime-pulley64,1,84744895,0,0
sandspiel,wasmtime-pulley64,1,1533855961,0,0
sqlgui,wasmtime-pulley64,1,92467272,0,0
uarm,wasmtime-pulley64,1,5383516812,0,0
video,wasmtime-pulley64,1,15305764,0,0
visual6502remix,wasmtime-pulley64,1,186776341,0,0
boa,wasmi,1,36643214,0,0
commanderkeen,wasmi,1,431617772,0,0
ffmpeg,wasmi,1,30576548,0,0
fib,wasmi,1,39746038601,0,0
figma-startpage,wasmi,1,7979776,0,0
funky-kart,wasmi,1,402259251,0,0
game-of-life,wasmi,1,2978651,0,0
guiicons,wasmi,1,97812934,0,0
handy-tools,wasmi,1,25224483,0,0
heatmap,wasmi,1,18732364175,0,0
jsc,wasmi,1,56014929,0,0
kittygame,wasmi,1,362675133,0,0
multiplyDouble,wasmi,1,16313286348,0,0
multiplyInt,wasmi,1,14167670367,0,0
ogv,wasmi,1,1920583,0,0
pathfinding,wasmi,1,2625169053,0,0
riconpacker,wasmi,1,53458460,0,0
rtexviewer,wasmi,1,139338637,0,0
sandspiel,wasmi,1,1669456945,0,0
sqlgui,wasmi,1,17555677,0,0
uarm,wasmi,1,853115560,0,0
video,wasmi,1,6538721,0,0
visual6502remix,wasmi,1,20984253,0,0
boa,wasmi-eager,1,58664427,0,0
commanderkeen,wasmi-eager,1,427151699,0,0
ffmpeg,wasmi-eager,1,70595467,0,0
fib,wasmi-eager,1,41461156050,0,0
figma-startpage,wasmi-eager,1,9299998,0,0
funky-kart,wasmi-eager,1,387767995,0,0
game-of-life,wasmi-eager,1,3261915,0,0
guiicons,wasmi-eager,1,91517776,0,0
handy-tools,wasmi-eager,1,37922907,0,0
heatmap,wasmi-eager,1,19203304647,0,0
jsc,wasmi-eager,1,83656874,0,0
kittygame,wasmi-eager,1,368673473,0,0
multiplyDouble,wasmi-eager,1,16172270447,0,0
multiplyInt,wasmi-eager,1,13759091081,0,0
ogv,wasmi-eager,1,1841145,0,0
pathfinding,wasmi-eager,1,2704361638,0,0
riconpacker,wasmi-eager,1,57330005,0,0
rtexviewer,wasmi-eager,1,148088312,0,0
sandspiel,wasmi-eager,1,1683652862,0,0
sqlgui,wasmi-eager,1,22792914,0,0
uarm,wasmi-eager,1,799914813,0,0
video,wasmi-eager,1,8602192,0,0
visual6502remix,wasmi-eager,1,27179369,0,0
boa,wasmi-lazy-translation,1,37177827,0,0
commanderkeen,wasmi-lazy-translation,1,432822222,0,0
ffmpeg,wasmi-lazy-translation,1,33195404,0,0
fib,wasmi-lazy-translation,1,41782587795,0,0
figma-startpage,wasmi-lazy-translation,1,8260619,0,0
funky-kart,wasmi-lazy-translation,1,404688534,0,0
game-of-life,wasmi-lazy-translation,1,2697945,0,0
guiicons,wasmi-lazy-translation,1,88780828,0,0
handy-tools,wasmi-lazy-translation,1,25103435,0,0
heatmap,wasmi-lazy-translation,1,19246316103,0,0
jsc,wasmi-lazy-translation,1,55756912,0,0
kittygame,wasmi-lazy-translation,1,363703066,0,0
multiplyDouble,wasmi-lazy-translation,1,15949142183,0,0
multiplyInt,wasmi-lazy-translation,1,14018701474,0,0
ogv,wasmi-lazy-translation,1,2098703,0,0
pathfinding,wasmi-lazy-translation,1,2664683555,0,0
riconpacker,wasmi-lazy-translation,1,51381105,0,0
rtexviewer,wasmi-lazy-translation,1,142312806,0,0
sandspiel,wasmi-lazy-translation,1,1681665741,0,0
sqlgui,wasmi-lazy-translation,1,17272702,0,0
uarm,wasmi-lazy-translation,1,856647818,0,0
video,wasmi-lazy-translation,1,8391559,0,0
visual6502remix,wasmi-lazy-translation,1,20982810,0,0
boa,wasmi-lazy,1,22177294,0,0
commanderkeen,wasmi-lazy,1,433817782,0,0
ffmpeg,wasmi-lazy,1,14710857,0,0
fib,wasmi-lazy,1,40479471823,0,0
figma-startpage,wasmi-lazy,1,9159472,0,0
funky-kart,wasmi-lazy,1,388584581,0,0
game-of-life,wasmi-lazy,1,3085345,0,0
guiicons,wasmi-lazy,1,93382819,0,0
handy-tools,wasmi-lazy,1,20037975,0,0
heatmap,wasmi-lazy,1,19142296531,0,0
jsc,wasmi-lazy,1,40493216,0,0
kittygame,wasmi-lazy,1,360509013,0,0
multiplyDouble,wasmi-lazy,1,16009763697,0,0
multiplyInt,wasmi-lazy,1,13350444419,0,0
ogv,wasmi-lazy,1,1766049,0,0
pathfinding,wasmi-lazy,1,2785659997,0,0
riconpacker,wasmi-lazy,1,54437516,0,0
rtexviewer,wasmi-lazy,1,137804886,0,0
sandspiel,wasmi-lazy,1,1680880927,0,0
sqlgui,wasmi-lazy,1,14386361,0,0
uarm,wasmi-lazy,1,794712235,0,0
video,wasmi-lazy,1,7938603,0,0
visual6502remix,wasmi-lazy,1,14843344,0,0
boa,wasmer,1,0,0,1
commanderkeen,wasmer,1,0,0,1
ffmpeg,wasmer,1,0,0,1
fib,wasmer,1,0,0,1
figma-startpage,wasmer,1,0,0,1
funky-kart,wasmer,1,0,0,1
game-of-life,wasmer,1,0,0,1
guiicons,wasmer,1,0,0,1
handy-tools,wasmer,1,0,0,1
heatmap,wasmer,1,0,0,1
jsc,wasmer,1,0,0,1
kittygame,wasmer,1,0,0,1
multiplyDouble,wasmer,1,0,0,1
multiplyInt,wasmer,1,0,0,1
ogv,wasmer,1,0,0,1
pathfinding,wasmer,1,0,0,1
riconpacker,wasmer,1,0,0,1
rtexviewer,wasmer,1,0,0,1
sandspiel,wasmer,1,0,0,1
sqlgui,wasmer,1,0,0,1
uarm,wasmer,1,0,0,1
video,wasmer,1,0,0,1
visual6502remix,wasmer,1,0,0,1
boa,wasmer-aot,1,22001086,0,0
commanderkeen,wasmer-aot,1,34225315,0,0
ffmpeg,wasmer-aot,1,24238105,0,0
fib,wasmer-aot,1,1883023440,0,0
figma-startpage,wasmer-aot,1,10355747,0,0
funky-kart,wasmer-aot,1,52519265,0,0
game-of-life,wasmer-aot,1,7598633,0,0
guiicons,wasmer-aot,1,12600666,0,0
handy-tools,wasmer-aot,1,18851599,0,0
heatmap,wasmer-aot,1,7379091040,0,0
jsc,wasmer-aot,1,37454341,0,0
kittygame,wasmer-aot,1,20511391,0,0
multiplyDouble,wasmer-aot,1,4310138267,0,0
multiplyInt,wasmer-aot,1,1621676316,0,0
ogv,wasmer-aot,1,6844341,0,0
pathfinding,wasmer-aot,1,160092469,0,0
riconpacker,wasmer-aot,1,13165210,0,0
rtexviewer,wasmer-aot,1,10334059,0,0
sandspiel,wasmer-aot,1,76064172,0,0
sqlgui,wasmer-aot,1,11999614,0,0
uarm,wasmer-aot,1,190401256,0,0
video,wasmer-aot,1,9889184,0,0
visual6502remix,wasmer-aot,1,17681211,0,0
boa,wazero,1,1256221503,0,0
commanderkeen,wazero,1,1787781243,0,0
ffmpeg,wazero,1,2201979406,0,0
fib,wazero,1,2180415432,0,0
figma-startpage,wazero,1,72965149,0,0
funky-kart,wazero,1,3639207858,0,0
game-of-life,wazero,1,3908435,0,0
guiicons,wazero,1,352865914,0,0
handy-tools,wazero,1,540514462,0,0
heatmap,wazero,1,45648960876,0,0
jsc,wazero,1,2447399128,0,0
kittygame,wazero,1,44246003,0,0
multiplyDouble,wazero,1,4357557016,0,0
multiplyInt,wazero,1,1669364219,0,0
ogv,wazero,1,2787432,0,0
pathfinding,wazero,1,18894349218,0,0
riconpacker,wazero,1,405765744,0,0
rtexviewer,wazero,1,215649142,0,0
sandspiel,wazero,1,371403680,0,0
sqlgui,wazero,1,240905705,0,0
uarm,wazero,1,17805026632,0,0
video,wazero,1,14051127,0,0
visual6502remix,wazero,1,390923218,0,0
boa,wazero-interpreter,1,166004005,0,0
commanderkeen,wazero-interpreter,1,1653829471,0,0
ffmpeg,wazero-interpreter,1,180431348,0,0
fib,wazero-interpreter,1,119178450598,0,0
figma-startpage,wazero-interpreter,1,13950595,0,0
funky-kart,wazero-interpreter,1,1533138316,0,0
game-of-life,wazero-interpreter,1,3539287,0,0
guiicons,wazero-interpreter,1,208664159,0,0
handy-tools,wazero-interpreter,1,82647593,0,0
heatmap,wazero-interpreter,1,141639684060,0,0
jsc,wazero-interpreter,1,218466520,0,0
kittygame,wazero-interpreter,1,1027644977,0,0
multiplyDouble,wazero-interpreter,1,95420549900,0,0
multiplyInt,wazero-interpreter,1,84234172061,0,0
ogv,wazero-interpreter,1,2564529,0,0
pathfinding,wazero-interpreter,1,7458035075,0,0
riconpacker,wazero-interpreter,1,68744853,0,0
rtexviewer,wazero-interpreter,1,21981847,0,0
sandspiel,wazero-interpreter,1,7104247603,0,0
sqlgui,wazero-interpreter,1,48954534,0,0
uarm,wazero-interpreter,1,2724549522,0,0
video,wazero-interpreter,1,3874823,0,0
visual6502remix,wazero-interpreter,1,48880473,0,0
boa,wasmedge,1,186653383,0,0
commanderkeen,wasmedge,1,5543673900,0,0
ffmpeg,wasmedge,1,151096291,0,0
fib,wasmedge,1,400879910916,0,0
figma-startpage,wasmedge,1,19449822,0,0
funky-kart,wasmedge,1,4372575301,0,0
game-of-life,wasmedge,1,10017994,0,0
guiicons,wasmedge,1,588487622,0,0
handy-tools,wasmedge,1,127330581,0,0
heatmap,wasmedge,1,227895298138,0,0
jsc,wasmedge,1,259118071,0,0
kittygame,wasmedge,1,3089802250,0,0
multiplyDouble,wasmedge,1,402540466300,0,0
multiplyInt,wasmedge,1,346842224721,0,0
ogv,wasmedge,1,10480304,0,0
pathfinding,wasmedge,1,25419112371,0,0
riconpacker,wasmedge,1,146367013,0,0
rtexviewer,wasmedge,1,22496740,0,0
sandspiel,wasmedge,1,31804649471,0,0
sqlgui,wasmedge,1,61356469,0,0
uarm,wasmedge,1,6466308122,0,0
video,wasmedge,1,13078514,0,0
visual6502remix,wasmedge,1,42699984,0,0
boa,wasmedge-int,1,190575530,0,0
commanderkeen,wasmedge-int,1,5540893301,0,0
ffmpeg,wasmedge-int,1,148634318,0,0
fib,wasmedge-int,1,358096555561,0,0
figma-startpage,wasmedge-int,1,18522361,0,0
funky-kart,wasmedge-int,1,4385792721,0,0
game-of-life,wasmedge-int,1,11782466,0,0
guiicons,wasmedge-int,1,592475375,0,0
handy-tools,wasmedge-int,1,126037648,0,0
heatmap,wasmedge-int,1,228365416663,0,0
jsc,wasmedge-int,1,261207867,0,0
kittygame,wasmedge-int,1,3085645845,0,0
multiplyDouble,wasmedge-int,1,476330173862,0,0
multiplyInt,wasmedge-int,1,346952988838,0,0
ogv,wasmedge-int,1,11452299,0,0
pathfinding,wasmedge-int,1,25674967813,0,0
riconpacker,wasmedge-int,1,144377813,0,0
rtexviewer,wasmedge-int,1,21824802,0,0
sandspiel,wasmedge-int,1,35016263521,0,0
sqlgui,wasmedge-int,1,63414925,0,0
uarm,wasmedge-int,1,6484578425,0,0
video,wasmedge-int,1,12285965,0,0
visual6502remix,wasmedge-int,1,46368513,0,0
boa,wasmedge-jit,1,222883388321,0,0
commanderkeen,wasmedge-jit,1,133921099113,0,0
ffmpeg,wasmedge-jit,1,254951751344,0,0
fib,wasmedge-jit,1,29828647574,0,0
figma-startpage,wasmedge-jit,1,8898178958,0,0
funky-kart,wasmedge-jit,1,0,0,139
game-of-life,wasmedge-jit,1,48684942,0,0
guiicons,wasmedge-jit,1,0,0,134
handy-tools,wasmedge-jit,1,106828848175,0,0
heatmap,wasmedge-jit,1,0,0,139
jsc,wasmedge-jit,1,599661483677,0,0
kittygame,wasmedge-jit,1,2457328516,0,0
multiplyDouble,wasmedge-jit,1,23064427225,0,0
multiplyInt,wasmedge-jit,1,23022289511,0,0
ogv,wasmedge-jit,1,18571357,0,0
pathfinding,wasmedge-jit,1,1297983223692,0,0
riconpacker,wasmedge-jit,1,32272660873,0,0
rtexviewer,wasmedge-jit,1,15848159901,0,0
sandspiel,wasmedge-jit,1,16513907815,0,0
sqlgui,wasmedge-jit,1,38210039459,0,0
uarm,wasmedge-jit,1,0,0,137
video,wasmedge-jit,1,651263933,0,0
visual6502remix,wasmedge-jit,1,45757966026,0,0
boa,wasmedge-aot,1,24046459,0,0
commanderkeen,wasmedge-aot,1,36825739,0,0
ffmpeg,wasmedge-aot,1,30620110,0,0
fib,wasmedge-aot,1,114212904,0,0
figma-startpage,wasmedge-aot,1,11562159,0,0
funky-kart,wasmedge-aot,1,0,0,134
game-of-life,wasmedge-aot,1,12937779,0,0
guiicons,wasmedge-aot,1,19192252,0,0
handy-tools,wasmedge-aot,1,34452427,0,0
heatmap,wasmedge-aot,1,586858515,0,0
jsc,wasmedge-aot,1,41671961,0,0
kittygame,wasmedge-aot,1,19914459,0,0
multiplyDouble,wasmedge-aot,1,9877569,0,0
multiplyInt,wasmedge-aot,1,13127984,0,0
ogv,wasmedge-aot,1,7919510,0,0
pathfinding,wasmedge-aot,1,33900795,0,0
riconpacker,wasmedge-aot,1,15431131,0,0
rtexviewer,wasmedge-aot,1,18414550,0,0
sandspiel,wasmedge-aot,1,65432260,0,0
sqlgui,wasmedge-aot,1,19115945,0,0
uarm,wasmedge-aot,1,230581493,0,0
video,wasmedge-aot,1,10219692,0,0
visual6502remix,wasmedge-aot,1,19693049,0,0
boa,wizard,1,73004687,0,0
commanderkeen,wizard,1,396797062,0,0
ffmpeg,wizard,1,83135857,0,0
fib,wizard,1,26280303857,0,0
figma-startpage,wizard,1,6526942,0,0
funky-kart,wizard,1,509573692,0,0
game-of-life,wizard,1,2371381,0,0
guiicons,wizard,1,61523247,0,0
handy-tools,wizard,1,52169310,0,0
heatmap,wizard,1,14238482704,0,0
jsc,wizard,1,100535648,0,0
kittygame,wizard,1,240102766,0,0
multiplyDouble,wizard,1,26488132444,0,0
multiplyInt,wizard,1,25801444981,0,0
ogv,wizard,1,2072519,0,0
pathfinding,wizard,1,1913124235,0,0
riconpacker,wizard,1,21240138,0,0
rtexviewer,wizard,1,6615007,0,0
sandspiel,wizard,1,1851347328,0,0
sqlgui,wizard,1,18108039,0,0
uarm,wizard,1,1279956875,0,0
video,wizard,1,2602903,0,0
visual6502remix,wizard,1,24530930,0,0
boa,wizard-int,1,63214893,0,0
commanderkeen,wizard-int,1,394110998,0,0
ffmpeg,wizard-int,1,82722121,0,0
fib,wizard-int,1,26274351585,0,0
figma-startpage,wizard-int,1,5368257,0,0
funky-kart,wizard-int,1,508175913,0,0
game-of-life,wizard-int,1,2257073,0,0
guiicons,wizard-int,1,69829138,0,0
handy-tools,wizard-int,1,53934908,0,0
heatmap,wizard-int,1,14058159970,0,0
jsc,wizard-int,1,98701366,0,0
kittygame,wizard-int,1,240512649,0,0
multiplyDouble,wizard-int,1,26477652943,0,0
multiplyInt,wizard-int,1,25772087610,0,0
ogv,wizard-int,1,1943026,0,0
pathfinding,wizard-int,1,1911088919,0,0
riconpacker,wizard-int,1,23888474,0,0
rtexviewer,wizard-int,1,9196795,0,0
sandspiel,wizard-int,1,1850395004,0,0
sqlgui,wizard-int,1,17529602,0,0
uarm,wizard-int,1,1278912779,0,0
video,wizard-int,1,2515435,0,0
visual6502remix,wizard-int,1,25877707,0,0
boa,wizard-dyn,1,65214982,0,0
commanderkeen,wizard-dyn,1,147140330,0,0
ffmpeg,wizard-dyn,1,84867747,0,0
fib,wizard-dyn,1,3301950685,0,0
figma-startpage,wizard-dyn,1,5756889,0,0
funky-kart,wizard-dyn,1,202503196,0,0
game-of-life,wizard-dyn,1,2438501,0,0
guiicons,wizard-dyn,1,32748270,0,0
handy-tools,wizard-dyn,1,79203111,0,0
heatmap,wizard-dyn,1,14183580927,0,0
jsc,wizard-dyn,1,181621423,0,0
kittygame,wizard-dyn,1,32747693,0,0
multiplyDouble,wizard-dyn,1,5939748518,0,0
multiplyInt,wizard-dyn,1,1650521500,0,0
ogv,wizard-dyn,1,2156726,0,0
pathfinding,wizard-dyn,1,965246237,0,0
riconpacker,wizard-dyn,1,31332657,0,0
rtexviewer,wizard-dyn,1,7425328,0,0
sandspiel,wizard-dyn,1,109278543,0,0
sqlgui,wizard-dyn,1,48587041,0,0
uarm,wizard-dyn,1,952103962,0,0
video,wizard-dyn,1,2414732,0,0
visual6502remix,wizard-dyn,1,28013330,0,0
